prompt_id,layer,head,cv,kl,entropy,p_max
factual,10,12,0.745691,1.7582868,1.175215,0.571034
factual,10,13,0.896305,2.5603898,1.296039,0.55091
factual,10,14,1.021479,2.5045147,1.115463,0.646837
factual,10,15,1.314752,2.3375995,0.818696,0.796382
factual,10,16,1.310316,1.6925795,0.71296,0.823916
factual,10,17,1.289501,3.2230778,1.107011,0.697955
factual,10,18,0.932151,3.1035428,1.300573,0.579537
factual,10,19,1.102879,2.396301,1.077973,0.680166
factual,10,20,0.953066,2.5587564,1.160003,0.631468
factual,10,21,1.013564,0.9942718,0.343513,0.93157
factual,10,22,1.272797,1.7674769,0.509934,0.89147
factual,10,23,1.119308,2.6609352,0.803207,0.775386
factual,11,0,1.190398,3.4696319,1.098123,0.682924
factual,11,1,1.454774,2.4101486,0.762521,0.820972
factual,11,2,1.40143,2.5214036,0.945189,0.756137
factual,11,3,1.250672,2.7326813,0.909971,0.75826
factual,11,4,1.409609,2.0246964,0.770566,0.816145
factual,11,5,1.226063,3.0443921,1.003471,0.728265
factual,11,6,1.369401,2.5498693,0.866277,0.784713
factual,11,7,1.127732,3.3162723,1.159193,0.664871
factual,11,8,0.907938,3.1807895,1.269373,0.585834
factual,11,9,1.19293,2.2895775,0.879313,0.746209
factual,11,10,0.841094,3.4948127,1.374403,0.553919
factual,11,11,0.71167,3.9032559,1.449648,0.501035
factual,11,12,0.965761,1.9091713,1.064236,0.662233
factual,11,13,1.067888,2.2608767,0.96145,0.698685
factual,11,14,0.902579,1.7107704,0.958722,0.667338
factual,11,15,1.167055,2.9716606,1.037858,0.684247
factual,11,16,0.875446,2.4438469,1.28656,0.583395
factual,11,17,1.225815,1.9679841,0.813644,0.768951
factual,11,18,0.998298,3.3336177,1.184681,0.627568
factual,11,19,1.166163,2.7530365,1.062524,0.695347
factual,11,20,1.235506,3.2066836,1.048092,0.704441
factual,11,21,0.939604,3.2673965,1.193125,0.606247
factual,11,22,0.874607,2.9988174,1.317755,0.554749
factual,11,23,0.810058,3.3427551,1.335217,0.549918
factual,12,0,1.086121,3.3403335,1.132057,0.67004
